Centering the design matrix
    ones        cei  sea_avg_max  sea_avg_min  sea_max_range  years  water_temp
0    0.0 -13.912903    -0.605484    -1.011645      -4.342581  -15.0   -1.577419
1    0.0  15.167097    -0.905484    -0.311645      -5.542581  -14.0   -0.577419
2    0.0   1.587097    -0.555484     0.038355      -7.942581  -13.0   -0.577419
3    0.0 -13.312903    -1.605484    -0.911645      -7.142581  -12.0   -0.877419
4    0.0 -24.132903    -1.105484    -0.761645      -4.542581  -11.0   -1.277419
5    0.0 -20.212903    -0.305484    -0.111645      -0.442581  -10.0   -0.477419
6    0.0 -20.652903     0.094516     0.488355      -5.642581   -9.0    0.022581
7    0.0   0.527097    -0.465484    -0.211645      -5.262581   -8.0   -0.577419
8    0.0 -20.652903    -1.885484    -1.860645      -7.136581   -7.0   -0.777419
9    0.0  20.587097    -0.945484    -0.651645      -4.810581   -6.0   -0.577419
10   0.0  12.687097     0.304516     0.428355      -3.379581   -5.0    0.122581
11   0.0 -17.892903    -0.020484     0.523355      -3.520581   -4.0    0.122581
12   0.0  -3.252903     0.269516     0.563355      -2.431581   -3.0    0.222581
13   0.0  -7.632903     0.124516     0.078355      -1.396581   -2.0    0.822581
14   0.0   2.327097    -0.015484     0.278355      -1.376581   -1.0    0.322581
15   0.0  -8.512903    -0.045484     0.258355      48.767419    0.0    0.422581
16   0.0  -1.232903     1.634516     1.628355      -1.685581    1.0    1.422581
17   0.0  43.287097     2.384516     3.388355       3.805419    2.0    2.722581
18   0.0 -18.272903     1.034516    -2.040645      13.497419    3.0   -0.477419
19   0.0  -3.812903     1.274516    -0.791645       7.597419    4.0    0.022581
20   0.0 -12.752903    -0.015484     0.063355      10.437419    5.0   -0.277419
21   0.0  13.767097    -0.225484    -0.021645       0.449419    6.0    0.622581
22   0.0  41.807097     0.314516     0.068355      -2.186581    7.0    0.522581
23   0.0  22.207097     0.164516     0.233355      -1.915581    8.0    0.822581
24   0.0  -9.772903    -0.040484     0.158355      -2.524581    9.0   -0.277419
25   0.0 -15.852903     0.359516     0.233355      -0.293581   10.0   -0.477419
26   0.0  -9.632903    -0.445484    -2.107645       2.815419   11.0   -0.877419
27   0.0  14.007097     0.214516     0.848355      -3.709581   12.0    0.622581
28   0.0   9.547097    -0.055484     0.298355      -5.546581   13.0    0.122581
29   0.0  11.147097     0.924516     1.128355      -1.951581   14.0    0.622581
30   0.0  12.847097     0.144516     0.088355      -2.643581   15.0    0.122581
