Northeast CEI (All Steps Combined) Annual (January-December) 1910-2021
Date,Percentage Area
1910,20.76
1911,25.42
1912,25.48
1913,24.68
1914,43.98
1915,18.68
1916,22.58
1917,46.54
1918,29.02
1919,2.74
1920,21.94
1921,25.88
1922,12.28
1923,27.66
1924,54.24
1925,11.50
1926,38.46
1927,6.46
1928,12.26
1929,6.62
1930,16.94
1931,23.44
1932,9.68
1933,7.50
1934,23.16
1935,13.08
1936,9.90
1937,13.94
1938,8.36
1939,7.80
1940,40.70
1941,21.52
1942,12.40
1943,16.96
1944,7.42
1945,19.88
1946,14.98
1947,6.06
1948,13.28
1949,25.70
1950,13.32
1951,7.16
1952,11.72
1953,23.98
1954,20.70
1955,12.24
1956,12.66
1957,18.30
1958,27.82
1959,0.08
1960,9.10
1961,1.22
1962,23.76
1963,27.18
1964,17.10
1965,15.70
1966,16.60
1967,7.56
1968,4.46
1969,1.54
1970,1.12
1971,6.80
1972,38.14
1973,25.30
1974,12.20
1975,14.62
1976,26.06
1977,16.86
1978,27.86
1979,19.06
1980,10.34
1981,7.36
1982,5.82
1983,9.04
1984,4.04
1985,10.78
1986,5.68
1987,5.76
1988,5.80
1989,14.60
1990,43.68
1991,30.10
1992,15.20
1993,4.38
1994,8.30
1995,7.86
1996,29.04
1997,7.86
1998,49.10
1999,41.20
2000,10.62
2001,25.26
2002,20.88
2003,30.84
2004,20.00
2005,27.28
2006,71.80
2007,10.24
2008,24.70
2009,15.76
2010,42.28
2011,70.32
2012,50.72
2013,18.74
2014,12.66
2015,18.88
2016,42.52
2017,38.06
2018,39.66
2019,41.36
2020,47.68
2021,60.48
