Northeast Extremes in Maximum Temperature (Step 1) Annual (January-December) 1910-2021
Date,Much Above Normal,Much Below Normal
1910,0.00,5.90
1911,0.20,0.20
1912,0.00,66.20
1913,7.60,0.00
1914,0.00,61.60
1915,0.00,3.10
1916,0.00,31.30
1917,0.00,100.00
1918,0.00,15.20
1919,0.00,0.00
1920,0.00,45.80
1921,47.70,0.00
1922,1.10,0.00
1923,0.00,18.90
1924,0.00,82.30
1925,0.00,13.90
1926,0.00,99.10
1927,0.00,0.00
1928,0.00,10.20
1929,0.00,1.40
1930,2.50,0.00
1931,27.10,0.00
1932,1.20,0.00
1933,0.00,0.50
1934,0.00,9.50
1935,0.00,18.50
1936,0.00,4.20
1937,4.10,0.00
1938,5.00,0.00
1939,0.20,0.00
1940,0.00,89.70
1941,0.90,0.00
1942,0.00,0.00
1943,0.00,35.00
1944,0.00,0.00
1945,0.00,0.00
1946,21.70,0.00
1947,0.00,0.00
1948,0.00,0.00
1949,83.80,0.00
1950,0.00,2.00
1951,0.00,0.00
1952,1.10,0.00
1953,80.80,0.00
1954,0.00,0.10
1955,0.10,0.00
1956,0.00,3.40
1957,0.60,0.00
1958,0.00,81.40
1959,0.00,0.00
1960,0.00,5.40
1961,0.00,0.00
1962,0.00,22.80
1963,0.00,0.00
1964,0.00,0.00
1965,0.00,2.60
1966,0.00,0.00
1967,0.00,26.00
1968,0.00,0.10
1969,0.00,1.60
1970,0.00,0.00
1971,0.00,0.00
1972,0.00,83.10
1973,0.00,0.00
1974,0.00,3.20
1975,0.00,0.00
1976,0.00,15.40
1977,0.00,0.00
1978,0.00,56.10
1979,0.00,9.60
1980,0.00,17.90
1981,0.00,3.30
1982,0.00,0.00
1983,0.00,0.00
1984,0.00,0.00
1985,0.00,0.00
1986,0.00,0.00
1987,0.00,0.00
1988,0.00,0.00
1989,0.00,5.30
1990,61.40,0.00
1991,72.50,0.00
1992,0.00,31.00
1993,0.00,0.00
1994,0.00,0.00
1995,0.00,0.00
1996,0.00,6.70
1997,0.00,0.00
1998,99.40,0.00
1999,77.30,0.00
2000,0.00,0.00
2001,46.40,0.00
2002,22.80,0.00
2003,0.00,1.70
2004,0.00,0.00
2005,0.20,0.00
2006,68.30,0.00
2007,0.10,0.00
2008,0.30,0.00
2009,0.00,0.00
2010,50.70,0.00
2011,22.30,0.00
2012,100.00,0.00
2013,0.00,0.10
2014,0.00,7.20
2015,2.70,0.00
2016,97.00,0.00
2017,20.20,0.00
2018,0.10,0.00
2019,5.20,0.10
2020,91.50,0.00
2021,74.80,0.00
